MovieId,CharacterId
1,1
2,1
3,1
6,1
7,1
11,1
13,1
16,1
19,1
1,2
3,2
7,2
11,2
13,2
19,2
1,3
1,4
7,4
1,5
3,5
6,5
16,5
19,5
1,6
3,6
4,6
5,6
6,6
9,6
11,6
19,6
2,7
6,7
7,7
11,7
19,7
2,8
13,8
19,8
1,9
3,10
4,11
6,11
8,11
11,11
14,11
17,11
19,11
4,12
8,12
4,13
6,13
8,13
17,13
19,13
4,14
6,14
8,14
11,14
4,15
8,15
11,15
17,15
19,15
4,16
8,16
17,16
4,17
8,17
4,18
6,18
11,18
13,18
1,19
3,19
4,19
6,19
6,20
9,20
11,20
19,20
5,21
6,21
8,21
9,21
11,21
13,21
16,21
19,21
5,22
19,22
5,23
9,23
11,23
12,24
5,24
9,24
13,24
19,24
1,25
3,25
5,25
12,25
13,25
7,26
1,27
3,27
7,27
16,27
8,28
4,29
8,29
9,30
11,30
12,30
13,30
19,30
9,31
13,31
9,32
13,32
9,33
10,34
15,34
19,34
10,35
15,35
19,35
10,36
15,36
19,36
10,37
15,37
19,37
10,38
15,38
19,38
10,39
10,40
15,40
10,41
15,41
19,41
8,42
10,42
19,42
6,43
10,43
11,43
19,43
9,44
11,44
9,45
11,45
13,45
19,45
11,46
13,46
19,46
11,47
12,48
13,48
12,49
12,50
12,51
13,52
18,52
19,52
3,53
13,53
16,53
19,53
13,54
14,55
17,55
19,55
14,56
14,57
19,57
14,58
15,59
19,59
15,60
15,61
15,62
16,63
16,64
16,65
13,66
16,66
16,67
19,67
17,68
15,69
17,69
17,70
17,71
18,72
18,73
18,74
19,74
13,75
18,75
18,76
18,77
19,77
18,78
19,78
11,79
18,79
19,80
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
